Farmaco;Masa Molar Fármaco;Parametro de Solubilidad del Farmaco;Temperatura de Fusión (K);Entalpia de Fusión (kJ/mol);Volumen Molar del Fármaco;Solvente 1;Masa Molar Solv 1;Solvente 2;Masa Molar Solv 2;PS Solvente 1;PS Solvente 2;Volumen Molar Solventes 1;Volumen Molar Solventes 2;x_1;x_2;w_1;w_2;Temperatura de Estudio;x_3
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,5;0,5;0,72;0,28;293,15;0,04440000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,5;0,5;0,72;0,28;298,15;0,07520000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,5;0,5;0,72;0,28;303,15;0,08110000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,5;0,5;0,72;0,28;308,15;0,12080000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,5;0,5;0,72;0,28;313,15;0,12160000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,5;0,5;0,72;0,28;318,15;0,14880000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,6;0,4;0,79;0,21;293,15;0,05810000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,6;0,4;0,79;0,21;298,15;0,10460000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,6;0,4;0,79;0,21;303,15;0,11270000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,6;0,4;0,79;0,21;308,15;0,15390000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,6;0,4;0,79;0,21;313,15;0,15630000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,6;0,4;0,79;0,21;318,15;0,18520000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,7;0,3;0,86;0,14;293,15;0,07450000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,7;0,3;0,86;0,14;298,15;0,14910000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,7;0,3;0,86;0,14;303,15;0,15130000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,7;0,3;0,86;0,14;308,15;0,19310000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,7;0,3;0,86;0,14;313,15;0,19740000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,7;0,3;0,86;0,14;318,15;0,23080000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,8;0,2;0,91;0,09;293,15;0,08150000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,8;0,2;0,91;0,09;298,15;0,16100000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,8;0,2;0,91;0,09;303,15;0,16390000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,8;0,2;0,91;0,09;308,15;0,20520000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,8;0,2;0,91;0,09;313,15;0,21400000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,8;0,2;0,91;0,09;318,15;0,24240000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,9;0,1;0,96;0,04;293,15;0,09110000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,9;0,1;0,96;0,04;298,15;0,17320000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,9;0,1;0,96;0,04;303,15;0,18080000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,9;0,1;0,96;0,04;308,15;0,21840000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,9;0,1;0,96;0,04;313,15;0,23290000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;0,9;0,1;0,96;0,04;318,15;0,25920000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;1;0;1,00;0,00;293,15;0,12300000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;1;0;1,00;0,00;298,15;0,20760000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;1;0;1,00;0,00;303,15;0,22970000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;1;0;1,00;0,00;308,15;0,26100000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;1;0;1,00;0,00;313,15;0,27700000
Hydroxytyrosol;154,16;37,05;333,55;94;131,2;Ethanol;46,068;Water;18,01528;26,6;47,9;59;18;1;0;1,00;0,00;318,15;0,30660000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;278,15;0,00031700
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;283,15;0,00037500
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;288,15;0,00044200
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;293,15;0,00053200
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;298,15;0,00061800
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;303,15;0,00070800
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;308,15;0,00084000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;313,15;0,00101000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0;1;0;1;318,15;0,00115000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;278,15;0,00035100
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;283,15;0,00041400
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;288,15;0,00049300
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;293,15;0,00059500
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;298,15;0,00070100
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;303,15;0,00079400
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;308,15;0,00094600
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;313,15;0,00113000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,071538055;0,928461945;0,05;0,95;318,15;0,00130000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;278,15;0,00038200
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;283,15;0,00045200
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;288,15;0,00054000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;293,15;0,00065000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;298,15;0,00076500
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;303,15;0,00086500
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;308,15;0,00104000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;313,15;0,00124000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,139904252;0,860095748;0,1;0,9;318,15;0,00143000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;278,15;0,00042000
